Sneak and Show -- 3.75% of field, won 43.56% of matches
+---------------------------------+----------------+---------------+----------+----------+
|       Sneak and Show vs.        |  September +   |  September +  | Post-EoE | Post-EoE |
| The EPIC Storm                  |     0-1-0      |         0.00% |  0-1-0   |    0.00% |
| Beanstalk Control (Yorion)      |     1-0-0      |       100.00% |  1-0-0   |  100.00% |
| Black Midrange                  |     0-0-0      |           --- |  6-3-0   |   66.67% |
| Goblins (Vial)                  |     0-1-0      |         0.00% |  0-1-0   |    0.00% |
| Golgari Depths                  |     0-0-0      |           --- |  0-0-0   |      --- |
| Mardu Energy                    |     0-0-0      |           --- |  0-1-0   |    0.00% |
| Other                           |     0-0-0      |           --- |  0-0-0   |      --- |
| Other Land Based/Fair GSZ       |     2-0-0      |       100.00% |  2-0-0   |  100.00% |
| Burn/Red Prowess                |     0-0-0      |           --- |  0-0-0   |      --- |
| Gruul Stompy                    |     0-0-0      |           --- |  1-1-0   |   50.00% |
| Other Permanent Combo           |     0-0-0      |           --- |  1-0-0   |  100.00% |
| Stoneblade                      |     1-0-0      |       100.00% |  2-0-0   |  100.00% |
| 4C Non Uro Control (Non-Yorion) |     0-0-0      |           --- |  0-0-0   |      --- |
| Boros Stompy                    |     1-1-0      |        50.00% |  1-1-0   |   50.00% |
| Colorless Cloudpost             |     1-0-0      |       100.00% |  2-0-0   |  100.00% |
| Esper Vial                      |     1-0-0      |       100.00% |  1-0-0   |  100.00% |
| Maverick                        |     0-0-0      |           --- |  0-1-0   |    0.00% |
| Other Control                   |     0-0-0      |           --- |  0-0-0   |      --- |
| Temur Cascade                   |     0-1-0      |         0.00% |  0-1-0   |    0.00% |
| Bomberman                       |     0-0-0      |           --- |  0-0-0   |      --- |
| Coveted Jewel Combo             |     0-0-0      |           --- |  0-0-0   |      --- |
| Dredge                          |     1-0-0      |       100.00% |  1-2-0   |   33.33% |
| Merfolk                         |     0-1-0      |         0.00% |  0-1-0   |    0.00% |
| Naya Stompy                     |     0-1-0      |         0.00% |  0-3-0   |    0.00% |
| Nic Fit                         |     1-0-0      |       100.00% |  2-0-0   |  100.00% |
| Ninjas                          |     0-0-0      |           --- |  0-1-0   |    0.00% |
| Other Tempo                     |     0-1-0      |         0.00% |  0-1-0   |    0.00% |
| Abzan Depths                    |     0-1-0      |         0.00% |  0-1-0   |    0.00% |
| Black Stompy                    |     0-0-0      |           --- |  0-1-0   |    0.00% |
| Death's Shadow                  |     0-0-0      |           --- |  0-0-0   |      --- |
| Elves                           |     0-0-0      |           --- |  1-0-0   |  100.00% |
| Infect                          |     0-0-0      |           --- |  0-0-0   |      --- |
| Naya Depths                     |     0-0-0      |           --- |  0-0-0   |      --- |
| Rakdos Reanimator               |     0-0-0      |           --- |  0-0-0   |      --- |
| Stiflenought                    |     0-0-0      |           --- |  1-6-0   |   14.29% |
| Sultai Control                  |     0-0-0      |           --- |  0-0-0   |      --- |
| The EPIC Gamble                 |     1-0-0      |       100.00% |  1-0-0   |  100.00% |
| 4C Uro Control (Yorion)         |     0-0-0      |           --- |  0-0-0   |      --- |
| ANT                             |     0-0-0      |           --- |  1-1-0   |   50.00% |
| Bant Control (Non-Yorion)       |     0-0-0      |           --- |  0-0-0   |      --- |
| Bant Control (Yorion)           |     0-0-0      |           --- |  0-0-0   |      --- |
| Boros Energy                    |     0-0-0      |           --- |  0-0-0   |      --- |
| Esper Control                   |     0-0-0      |           --- |  0-1-0   |    0.00% |
| Esper Tempo                     |     0-0-0      |           --- |  0-0-0   |      --- |
| Food Chain                      |     0-0-0      |           --- |  0-0-0   |      --- |
| High Tide                       |     0-0-0      |           --- |  0-0-0   |      --- |
| Hogaak                          |     0-0-0      |           --- |  0-0-0   |      --- |
| Jeskai Tempo                    |     0-0-0      |           --- |  0-1-0   |    0.00% |
| Loam                            |     0-0-0      |           --- |  0-0-0   |      --- |
| Natural Order                   |     0-0-0      |           --- |  0-0-0   |      --- |
| Necrodominance Combo            |     0-0-0      |           --- |  0-0-0   |      --- |
| Other Stompy                    |     0-0-0      |           --- |  0-0-0   |      --- |
| Paradoxical Outcome             |     0-0-0      |           --- |  0-0-0   |      --- |
| Ruby Storm                      |     0-0-0      |           --- |  0-0-0   |      --- |
| White Stompy                    |     0-0-0      |           --- |  1-0-0   |  100.00% |
| Worldgorger                     |     0-0-0      |           --- |  0-0-0   |      --- |
+---------------------------------+----------------+---------------+----------+----------+
