Eldrazi -- 5.48% of field, won 54.55% of matches
+---------------------------------+----------------+---------------+----------+----------+
|          Eldrazi vs.            |  September +   |  September +  | Post-EoE | Post-EoE |
| The EPIC Storm                  |     3-1-0      |        75.00% |  3-1-0   |   75.00% |
| Beanstalk Control (Yorion)      |     0-0-0      |           --- |  1-0-0   |  100.00% |
| Black Midrange                  |     0-1-0      |         0.00% |  2-3-0   |   40.00% |
| Goblins (Vial)                  |     0-0-0      |           --- |  0-0-0   |      --- |
| Golgari Depths                  |     1-0-0      |       100.00% |  1-1-0   |   50.00% |
| Mardu Energy                    |     3-1-0      |        75.00% |  4-1-0   |   80.00% |
| Other                           |     0-1-0      |         0.00% |  0-1-0   |    0.00% |
| Other Land Based/Fair GSZ       |     1-1-0      |        50.00% |  1-1-0   |   50.00% |
| Burn/Red Prowess                |     1-1-0      |        50.00% |  1-1-0   |   50.00% |
| Gruul Stompy                    |     1-0-0      |       100.00% |  1-1-0   |   50.00% |
| Other Permanent Combo           |     0-0-0      |           --- |  1-0-0   |  100.00% |
| Stoneblade                      |     0-0-0      |           --- |  1-0-0   |  100.00% |
| 4C Non Uro Control (Non-Yorion) |     1-0-0      |       100.00% |  1-0-0   |  100.00% |
| Boros Stompy                    |     0-0-0      |           --- |  0-1-0   |    0.00% |
| Colorless Cloudpost             |     0-0-0      |           --- |  1-0-0   |  100.00% |
| Esper Vial                      |     2-1-0      |        66.67% |  2-2-0   |   50.00% |
| Maverick                        |     1-0-0      |       100.00% |  1-1-0   |   50.00% |
| Other Control                   |     1-0-0      |       100.00% |  2-0-0   |  100.00% |
| Temur Cascade                   |     0-0-0      |           --- |  0-0-0   |      --- |
| Bomberman                       |     1-0-0      |       100.00% |  1-0-0   |  100.00% |
| Coveted Jewel Combo             |     2-1-0      |        66.67% |  2-1-0   |   66.67% |
| Dredge                          |     0-0-0      |           --- |  0-1-0   |    0.00% |
| Merfolk                         |     0-1-0      |         0.00% |  0-1-0   |    0.00% |
| Naya Stompy                     |     0-1-0      |         0.00% |  2-1-0   |   66.67% |
| Nic Fit                         |     1-0-0      |       100.00% |  2-0-0   |  100.00% |
| Ninjas                          |     0-0-0      |           --- |  0-0-0   |      --- |
| Other Tempo                     |     0-1-0      |         0.00% |  0-1-0   |    0.00% |
| Abzan Depths                    |     0-0-0      |           --- |  0-0-0   |      --- |
| Black Stompy                    |     1-0-0      |       100.00% |  1-0-0   |  100.00% |
| Death's Shadow                  |     0-1-0      |         0.00% |  0-1-0   |    0.00% |
| Elves                           |     0-1-0      |         0.00% |  0-2-0   |    0.00% |
| Infect                          |     0-0-0      |           --- |  0-0-0   |      --- |
| Naya Depths                     |     1-0-0      |       100.00% |  1-0-0   |  100.00% |
| Rakdos Reanimator               |     0-0-0      |           --- |  0-0-0   |      --- |
| Stiflenought                    |     1-0-0      |       100.00% |  7-1-0   |   87.50% |
| Sultai Control                  |     0-0-0      |           --- |  0-0-0   |      --- |
| The EPIC Gamble                 |     0-1-0      |         0.00% |  0-1-0   |    0.00% |
| 4C Uro Control (Yorion)         |     0-0-0      |           --- |  1-0-0   |  100.00% |
| ANT                             |     0-0-0      |           --- |  0-0-0   |      --- |
| Bant Control (Non-Yorion)       |     0-0-0      |           --- |  0-0-0   |      --- |
| Bant Control (Yorion)           |     0-0-0      |           --- |  0-0-0   |      --- |
| Boros Energy                    |     0-0-0      |           --- |  0-0-0   |      --- |
| Esper Control                   |     0-0-0      |           --- |  0-0-0   |      --- |
| Esper Tempo                     |     0-0-0      |           --- |  0-0-0   |      --- |
| Food Chain                      |     0-0-0      |           --- |  0-0-0   |      --- |
| High Tide                       |     0-0-0      |           --- |  0-0-0   |      --- |
| Hogaak                          |     0-0-0      |           --- |  0-0-0   |      --- |
| Jeskai Tempo                    |     0-0-0      |           --- |  0-0-0   |      --- |
| Loam                            |     0-0-0      |           --- |  0-1-0   |    0.00% |
| Natural Order                   |     0-0-0      |           --- |  0-0-0   |      --- |
| Necrodominance Combo            |     0-0-0      |           --- |  0-0-0   |      --- |
| Other Stompy                    |     0-0-0      |           --- |  0-0-0   |      --- |
| Paradoxical Outcome             |     0-0-0      |           --- |  0-1-0   |    0.00% |
| Ruby Storm                      |     0-0-0      |           --- |  0-0-0   |      --- |
| White Stompy                    |     0-0-0      |           --- |  0-0-0   |      --- |
| Worldgorger                     |     0-0-0      |           --- |  0-0-0   |      --- |
+---------------------------------+----------------+---------------+----------+----------+
