Izzet Tempo -- 5.72% of field, won 52.90% of matches
+---------------------------------+----------------+---------------+----------+----------+
|        Izzet Tempo vs.          |  September +   |  September +  | Post-EoE | Post-EoE |
| The EPIC Storm                  |     0-2-0      |         0.00% |  1-2-0   |   33.33% |
| Beanstalk Control (Yorion)      |     2-0-0      |       100.00% |  3-2-0   |   60.00% |
| Black Midrange                  |     1-0-0      |       100.00% |  4-5-0   |   44.44% |
| Goblins (Vial)                  |     0-0-0      |           --- |  1-0-0   |  100.00% |
| Golgari Depths                  |     0-0-0      |           --- |  1-0-0   |  100.00% |
| Mardu Energy                    |     1-2-0      |        33.33% |  1-4-0   |   20.00% |
| Other                           |     0-0-0      |           --- |  0-0-0   |      --- |
| Other Land Based/Fair GSZ       |     1-0-0      |       100.00% |  2-3-0   |   40.00% |
| Burn/Red Prowess                |     1-2-0      |        33.33% |  1-2-0   |   33.33% |
| Gruul Stompy                    |     0-1-0      |         0.00% |  1-2-0   |   33.33% |
| Other Permanent Combo           |     1-0-0      |       100.00% |  2-0-0   |  100.00% |
| Stoneblade                      |     0-0-0      |           --- |  1-1-0   |   50.00% |
| 4C Non Uro Control (Non-Yorion) |     0-0-0      |           --- |  0-0-0   |      --- |
| Boros Stompy                    |     0-1-0      |         0.00% |  3-2-0   |   60.00% |
| Colorless Cloudpost             |     0-0-0      |           --- |  2-0-0   |  100.00% |
| Esper Vial                      |     1-1-0      |        50.00% |  2-2-0   |   50.00% |
| Maverick                        |     0-0-0      |           --- |  0-2-0   |    0.00% |
| Other Control                   |     2-1-0      |        66.67% |  2-1-0   |   66.67% |
| Temur Cascade                   |     0-0-0      |           --- |  1-1-0   |   50.00% |
| Bomberman                       |     0-2-0      |         0.00% |  0-2-0   |    0.00% |
| Coveted Jewel Combo             |     1-2-0      |        33.33% |  3-3-0   |   50.00% |
| Dredge                          |     0-0-0      |           --- |  0-1-0   |    0.00% |
| Merfolk                         |     0-0-0      |           --- |  0-0-0   |      --- |
| Naya Stompy                     |     0-0-0      |           --- |  1-1-0   |   50.00% |
| Nic Fit                         |     0-0-0      |           --- |  0-1-0   |    0.00% |
| Ninjas                          |     1-0-0      |       100.00% |  3-0-0   |  100.00% |
| Other Tempo                     |     0-0-0      |           --- |  0-0-0   |      --- |
| Abzan Depths                    |     0-0-0      |           --- |  0-0-0   |      --- |
| Black Stompy                    |     0-0-0      |           --- |  3-2-0   |   60.00% |
| Death's Shadow                  |     0-0-0      |           --- |  0-0-0   |      --- |
| Elves                           |     0-0-0      |           --- |  0-2-0   |    0.00% |
| Infect                          |     0-0-0      |           --- |  0-1-0   |    0.00% |
| Naya Depths                     |     0-0-0      |           --- |  0-0-0   |      --- |
| Rakdos Reanimator               |     0-0-0      |           --- |  1-0-0   |  100.00% |
| Stiflenought                    |     0-0-0      |           --- |  6-5-0   |   54.55% |
| Sultai Control                  |     0-0-0      |           --- |  0-0-0   |      --- |
| The EPIC Gamble                 |     1-0-0      |       100.00% |  1-0-0   |  100.00% |
| 4C Uro Control (Yorion)         |     0-0-0      |           --- |  0-0-0   |      --- |
| ANT                             |     0-0-0      |           --- |  3-3-0   |   50.00% |
| Bant Control (Non-Yorion)       |     0-0-0      |           --- |  0-0-0   |      --- |
| Bant Control (Yorion)           |     0-0-0      |           --- |  0-0-0   |      --- |
| Boros Energy                    |     0-0-0      |           --- |  0-1-0   |    0.00% |
| Esper Control                   |     0-0-0      |           --- |  2-2-0   |   50.00% |
| Esper Tempo                     |     0-0-0      |           --- |  0-0-0   |      --- |
| Food Chain                      |     0-0-0      |           --- |  0-2-0   |    0.00% |
| High Tide                       |     0-0-0      |           --- |  0-0-0   |      --- |
| Hogaak                          |     0-0-0      |           --- |  0-0-0   |      --- |
| Jeskai Tempo                    |     0-0-0      |           --- |  1-0-0   |  100.00% |
| Loam                            |     0-0-0      |           --- |  1-0-0   |  100.00% |
| Natural Order                   |     0-0-0      |           --- |  1-0-0   |  100.00% |
| Necrodominance Combo            |     0-0-0      |           --- |  0-0-0   |      --- |
| Other Stompy                    |     0-0-0      |           --- |  2-1-0   |   66.67% |
| Paradoxical Outcome             |     0-0-0      |           --- |  0-0-0   |      --- |
| Ruby Storm                      |     0-0-0      |           --- |  0-1-0   |    0.00% |
| White Stompy                    |     0-0-0      |           --- |  2-0-0   |  100.00% |
| Worldgorger                     |     0-0-0      |           --- |  1-1-0   |   50.00% |
+---------------------------------+----------------+---------------+----------+----------+
