Cephalid Breakfast -- 4.68% of field, won 49.15% of matches
+---------------------------------+----------------+---------------+----------+----------+
|     Cephalid Breakfast vs.      |  September +   |  September +  | Post-EoE | Post-EoE |
| The EPIC Storm                  |     1-1-0      |        50.00% |  2-1-0   |   66.67% |
| Beanstalk Control (Yorion)      |     1-1-0      |        50.00% |  2-1-0   |   66.67% |
| Black Midrange                  |     0-0-0      |           --- |  1-0-0   |  100.00% |
| Goblins (Vial)                  |     2-0-0      |       100.00% |  4-1-0   |   80.00% |
| Golgari Depths                  |     0-0-0      |           --- |  0-0-0   |      --- |
| Mardu Energy                    |     0-0-0      |           --- |  0-0-0   |      --- |
| Other                           |     0-0-0      |           --- |  0-0-0   |      --- |
| Other Land Based/Fair GSZ       |     1-1-0      |        50.00% |  1-1-0   |   50.00% |
| Burn/Red Prowess                |     0-1-0      |         0.00% |  0-1-0   |    0.00% |
| Gruul Stompy                    |     0-0-0      |           --- |  0-0-0   |      --- |
| Other Permanent Combo           |     0-0-0      |           --- |  0-0-0   |      --- |
| Stoneblade                      |     0-0-0      |           --- |  0-0-0   |      --- |
| 4C Non Uro Control (Non-Yorion) |     0-0-0      |           --- |  0-0-0   |      --- |
| Boros Stompy                    |     0-0-0      |           --- |  0-1-0   |    0.00% |
| Colorless Cloudpost             |     0-0-0      |           --- |  0-0-0   |      --- |
| Esper Vial                      |     2-0-0      |       100.00% |  2-1-0   |   66.67% |
| Maverick                        |     0-0-0      |           --- |  1-0-0   |  100.00% |
| Other Control                   |     0-1-0      |         0.00% |  0-1-0   |    0.00% |
| Temur Cascade                   |     1-1-0      |        50.00% |  4-1-0   |   80.00% |
| Bomberman                       |     0-0-0      |           --- |  0-0-0   |      --- |
| Coveted Jewel Combo             |     0-0-0      |           --- |  0-0-0   |      --- |
| Dredge                          |     0-0-0      |           --- |  0-0-0   |      --- |
| Merfolk                         |     1-0-0      |       100.00% |  1-0-0   |  100.00% |
| Naya Stompy                     |     0-0-0      |           --- |  0-0-0   |      --- |
| Nic Fit                         |     0-0-0      |           --- |  0-0-0   |      --- |
| Ninjas                          |     0-0-0      |           --- |  3-1-0   |   75.00% |
| Other Tempo                     |     1-1-0      |        50.00% |  1-1-0   |   50.00% |
| Abzan Depths                    |     0-1-0      |         0.00% |  1-1-0   |   50.00% |
| Black Stompy                    |     0-0-0      |           --- |  0-0-0   |      --- |
| Death's Shadow                  |     0-0-0      |           --- |  0-0-0   |      --- |
| Elves                           |     0-0-0      |           --- |  0-1-0   |    0.00% |
| Infect                          |     0-0-0      |           --- |  0-0-0   |      --- |
| Naya Depths                     |     0-0-0      |           --- |  0-0-0   |      --- |
| Rakdos Reanimator               |     0-0-0      |           --- |  0-0-0   |      --- |
| Stiflenought                    |     0-0-0      |           --- |  4-1-0   |   80.00% |
| Sultai Control                  |     0-0-0      |           --- |  0-0-0   |      --- |
| The EPIC Gamble                 |     0-0-0      |           --- |  0-0-0   |      --- |
| 4C Uro Control (Yorion)         |     0-0-0      |           --- |  0-0-0   |      --- |
| ANT                             |     0-0-0      |           --- |  3-1-0   |   75.00% |
| Bant Control (Non-Yorion)       |     0-0-0      |           --- |  1-0-0   |  100.00% |
| Bant Control (Yorion)           |     0-0-0      |           --- |  0-0-0   |      --- |
| Boros Energy                    |     0-0-0      |           --- |  5-0-0   |  100.00% |
| Esper Control                   |     0-0-0      |           --- |  1-2-0   |   33.33% |
| Esper Tempo                     |     0-0-0      |           --- |  1-1-0   |   50.00% |
| Food Chain                      |     0-0-0      |           --- |  1-0-0   |  100.00% |
| High Tide                       |     0-0-0      |           --- |  0-0-0   |      --- |
| Hogaak                          |     0-0-0      |           --- |  0-0-0   |      --- |
| Jeskai Tempo                    |     0-0-0      |           --- |  1-0-0   |  100.00% |
| Loam                            |     0-0-0      |           --- |  0-0-0   |      --- |
| Natural Order                   |     0-0-0      |           --- |  0-1-0   |    0.00% |
| Necrodominance Combo            |     0-0-0      |           --- |  0-0-0   |      --- |
| Other Stompy                    |     0-0-0      |           --- |  2-1-0   |   66.67% |
| Paradoxical Outcome             |     0-0-0      |           --- |  0-1-0   |    0.00% |
| Ruby Storm                      |     0-0-0      |           --- |  0-0-0   |      --- |
| White Stompy                    |     0-0-0      |           --- |  4-0-0   |  100.00% |
| Worldgorger                     |     0-0-0      |           --- |  0-0-0   |      --- |
+---------------------------------+----------------+---------------+----------+----------+
